date,stepCount,stepsDistance,calories,sleepQuality,sleepDuration,inactivityAlertCount,dailyMetMinutes,maximumHeartRate,NO_DATA,SLEEP,SEDENTARY,LIGHT,CONTINUOS_MODERATE,INTERMITTENT_MODERATE,CONTINUOS_VIGOROUS,INTERMITTENT_VIGOROUS,NON_WEAR,sleepDuration_sec
2019-05-04,0,0.0,1256,0.0,00:00:00,0,0.0,,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2024-09-12,14058,7399.93701171875,2528,0.851178,07:47:00,0,230.34999999999988,197.0,0,09:23:00,05:12:30,07:50:30,01:34:00,00:00:00,00:00:00,00:00:00,00:00:00,07:47:00
2024-01-05,23880,14060.953125,3029,0.86373,08:08:00,0,472.3499999999991,197.0,0,06:52:30,06:04:30,07:30:30,03:29:30,00:00:00,00:03:00,00:00:00,00:00:00,08:08:00
2022-01-12,19474,11392.7421875,4131,0.86086,07:22:00,0,1223.6999999999998,,0,09:57:30,01:36:30,03:37:30,05:31:30,00:00:00,03:17:00,00:00:00,00:00:00,07:22:00
2024-10-10,29855,20642.650390625,3216,0.862298,08:46:30,0,599.0499999999997,197.0,0,08:31:30,03:47:30,07:49:00,02:44:00,00:00:00,01:08:00,00:00:00,00:00:00,08:46:30
2019-05-29,0,0.0,1254,0.0,00:00:00,0,0.0,,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2023-01-17,19995,10857.9931640625,3107,0.839779,09:03:00,0,518.2500000000005,197.0,0,06:37:30,05:50:30,08:06:00,02:26:00,00:00:00,01:00:00,00:00:00,00:00:00,09:03:00
2019-05-30,0,0.0,1254,0.0,00:00:00,0,0.0,,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2023-11-18,1948,986.2670288085938,1605,0.843713,07:05:30,0,63.64999999999999,197.0,0,07:16:00,00:53:30,00:52:30,00:35:30,00:00:00,00:00:00,00:00:00,14:22:30,07:05:30
2024-03-26,0,0.0,1364,0.0,00:00:00,0,0.0,197.0,0,00:00:00,00:01:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,23:58:30,00:00:00
2024-02-06,0,0.0,1363,0.0,00:00:00,0,0.0,197.0,0,00:01:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,23:59:00,00:00:00
2022-02-11,11426,6765.2451171875,2648,0.814469,07:08:30,0,280.1000000000001,,0,05:55:00,09:04:30,06:59:30,01:49:30,00:00:00,00:11:30,00:00:00,00:00:00,07:08:30
2022-03-17,10636,6190.77978515625,2661,0.869168,08:13:00,0,271.80000000000024,197.0,0,06:30:00,08:06:00,07:08:00,02:12:30,00:00:00,00:03:30,00:00:00,00:00:00,08:13:00
2022-05-12,13060,7128.8232421875,2729,0.88671,07:39:00,0,383.35000000000025,197.0,0,08:51:00,06:16:30,05:59:30,02:33:00,00:00:00,00:20:00,00:00:00,00:00:00,07:39:00
2019-08-25,0,0.0,1255,0.0,00:00:00,0,0.0,,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
2022-04-21,16023,8580.3662109375,2620,0.910287,06:58:00,0,288.90000000000043,197.0,0,07:59:30,07:13:00,06:38:00,02:09:30,00:00:00,00:00:00,00:00:00,00:00:00,06:58:00
2023-03-13,17416,10512.98828125,2589,0.81746,07:21:00,0,330.59999999999985,197.0,0,09:28:00,06:46:00,05:06:00,02:26:00,00:00:00,00:14:00,00:00:00,00:00:00,07:21:00
2020-05-06,6139,4819.89501953125,1590,0.0,00:00:00,0,238.27499999999927,,0,00:00:30,00:33:00,01:01:00,00:01:30,00:03:00,00:29:00,00:03:30,21:48:30,00:00:00
2024-11-12,10035,5359.19921875,2296,0.834601,08:46:00,0,149.34999999999977,197.0,0,09:20:00,07:16:00,06:25:30,00:58:30,00:00:00,00:00:00,00:00:00,00:00:00,08:46:00
2022-05-03,11106,7139.12939453125,2371,0.846672,09:53:30,0,262.7499999999999,197.0,0,07:33:00,07:18:00,04:33:00,01:39:00,00:00:00,00:14:00,00:00:00,02:43:00,09:53:30
