date,name,startTime,stopTime,timeZoneOffset,distance,duration,kiloCalories,maximumHeartRate,averageHeartRate,duration_minutes,vo2Max,restingHeartRate,anaerobicThreshold,functionalThresholdPower,sleepGoal,sport,minHeartRate
2021-03-14,,08:32:38,09:42:26,60,10331.7998046875,01:09:48,578.0,195,139.0,01:09:48,46,55.0,176.0,256.0,8.0,RUNNING,93.0
2024-11-02,,11:02:56,12:11:33,60,108.5,01:08:37,96.0,197,97.0,01:08:37,44,55.0,177.0,172.0,8.0,OTHER_OUTDOOR,61.0
2022-12-31,,10:20:16,11:18:30,60,10233.900390625,00:58:14,623.0,197,169.0,00:58:14,45,55.0,177.0,177.0,8.0,RUNNING,91.0
2020-04-04,Laufen,07:54:53,08:33:17,120,6708.89990234375,00:38:24,410.0,196,,00:38:24,45,55.0,176.0,,,RUNNING,
2023-05-17,,16:19:22,17:08:18,120,20936.5,00:48:56,437.0,197,155.0,00:48:56,44,55.0,177.0,172.0,8.0,ROAD_BIKING,105.0
2021-08-01,,09:09:54,09:43:07,120,6207.7998046875,00:33:13,358.0,194,168.0,00:33:13,45,55.0,175.0,177.0,8.0,JOGGING,101.0
2021-11-28,,11:50:52,12:40:32,60,8768.900390625,00:49:40,555.0,194,173.0,00:49:40,45,55.0,175.0,177.0,8.0,RUNNING,105.0
2022-03-25,,18:12:09,19:18:26,60,8617.2998046875,01:06:17,548.0,197,151.0,01:06:17,45,55.0,177.0,177.0,8.0,MOUNTAIN_BIKING,91.0
2022-10-01,,20:28:38,21:48:46,120,13694.099609375,01:20:08,837.0,197,166.0,01:20:08,45,55.0,177.0,177.0,8.0,RUNNING,89.0
2017-07-25,,11:31:54,12:31:54,120,,01:00:00,,198,,01:00:00,48,55.0,178.0,220.0,,YOGA,
2022-03-23,,16:00:42,17:00:27,60,9558.599609375,00:59:45,578.0,197,156.0,00:59:45,45,55.0,177.0,177.0,8.0,RUNNING,95.0
2023-09-10,,16:10:59,17:38:23,120,12378.7001953125,01:27:24,712.0,197,165.0,01:27:24,44,55.0,177.0,172.0,8.0,RUNNING,114.0
2024-12-05,,18:00:17,18:52:45,60,9641.7998046875,00:52:28,521.0,197,161.0,00:52:28,44,55.0,177.0,172.0,8.0,RUNNING,73.0
